Date,Natural Gas
1/14/2020,2.187
1/15/2020,2.12
1/16/2020,2.077
1/17/2020,2.003
1/19/2020,1.905
1/20/2020,1.938
1/21/2020,1.895
1/22/2020,1.905
1/23/2020,1.926
1/24/2020,1.893
1/27/2020,1.902
1/28/2020,1.934
1/29/2020,1.877
1/30/2020,1.829
1/31/2020,1.841
2/3/2020,1.819
2/4/2020,1.872
2/5/2020,1.861
2/6/2020,1.862
2/7/2020,1.858
2/10/2020,1.766
2/11/2020,1.788
2/12/2020,1.844
2/13/2020,1.826
2/14/2020,1.837
2/16/2020,1.902
2/17/2020,1.93
2/18/2020,1.981
2/19/2020,1.955
2/20/2020,1.92
2/21/2020,1.905
2/24/2020,1.827
2/25/2020,1.847
2/26/2020,1.821
2/27/2020,1.752
2/28/2020,1.684
3/2/2020,1.756
3/3/2020,1.8
3/4/2020,1.827
3/5/2020,1.772
3/6/2020,1.708
3/9/2020,1.778
3/10/2020,1.936
3/11/2020,1.878
3/12/2020,1.841
3/13/2020,1.869
3/16/2020,1.815
3/17/2020,1.729
3/18/2020,1.604
3/19/2020,1.654
3/20/2020,1.604
3/23/2020,1.602
3/24/2020,1.653
3/25/2020,1.659
3/26/2020,1.637
3/27/2020,1.634
3/30/2020,1.69
3/31/2020,1.64
4/1/2020,1.587
4/2/2020,1.552
4/3/2020,1.621
4/6/2020,1.731
4/7/2020,1.852
4/8/2020,1.783
4/9/2020,1.733
4/13/2020,1.724
4/14/2020,1.65
4/15/2020,1.598
4/16/2020,1.686
4/17/2020,1.753
4/20/2020,1.924
4/21/2020,1.821
4/22/2020,1.939
4/23/2020,1.815
4/24/2020,1.746
4/27/2020,1.819
4/28/2020,1.794
4/29/2020,1.869
4/30/2020,1.949
5/1/2020,1.89
5/4/2020,1.993
5/5/2020,2.134
5/6/2020,1.944
5/7/2020,1.894
5/8/2020,1.823
5/11/2020,1.826
5/12/2020,1.72
5/13/2020,1.616
5/14/2020,1.681
5/15/2020,1.646
5/18/2020,1.783
5/19/2020,1.83
5/20/2020,1.771
5/21/2020,1.71
5/22/2020,1.731
5/24/2020,1.863
5/25/2020,1.864
5/26/2020,1.793
5/27/2020,1.722
5/28/2020,1.827
5/29/2020,1.849
6/1/2020,1.774
6/2/2020,1.777
6/3/2020,1.821
6/4/2020,1.822
6/5/2020,1.782
6/8/2020,1.789
6/9/2020,1.767
6/10/2020,1.78
6/11/2020,1.813
6/12/2020,1.731
6/15/2020,1.669
6/16/2020,1.614
6/17/2020,1.638
6/18/2020,1.638
6/19/2020,1.669
6/22/2020,1.664
6/23/2020,1.637
6/24/2020,1.597
6/25/2020,1.482
6/26/2020,1.495
6/29/2020,1.709
6/30/2020,1.751
7/1/2020,1.671
7/2/2020,1.734
7/3/2020,1.746
7/6/2020,1.83
7/7/2020,1.876
7/8/2020,1.824
7/9/2020,1.779
7/10/2020,1.805
7/13/2020,1.739
7/14/2020,1.746
7/15/2020,1.778
7/16/2020,1.723
7/17/2020,1.718
7/20/2020,1.641
7/21/2020,1.675
7/22/2020,1.681
7/23/2020,1.785
7/24/2020,1.808
7/27/2020,1.734
7/28/2020,1.8
7/29/2020,1.854
7/30/2020,1.829
7/31/2020,1.799
8/3/2020,2.101
8/4/2020,2.193
8/5/2020,2.191
8/6/2020,2.165
8/7/2020,2.238
8/10/2020,2.153
8/11/2020,2.171
8/12/2020,2.152
8/13/2020,2.182
8/14/2020,2.356
8/17/2020,2.339
8/18/2020,2.417
8/19/2020,2.426
8/20/2020,2.352
8/21/2020,2.448
8/24/2020,2.513
8/25/2020,2.489
8/26/2020,2.461
8/27/2020,2.579
8/28/2020,2.657
8/31/2020,2.63
9/1/2020,2.527
9/2/2020,2.486
9/3/2020,2.487
9/4/2020,2.588
9/6/2020,2.561
9/7/2020,2.541
9/8/2020,2.4
9/9/2020,2.406
9/10/2020,2.323
9/11/2020,2.269
9/14/2020,2.31
9/15/2020,2.362
9/16/2020,2.267
9/17/2020,2.042
9/18/2020,2.048
9/21/2020,1.835
9/22/2020,1.834
9/23/2020,2.125
9/24/2020,2.248
9/25/2020,2.139
9/28/2020,2.101
9/29/2020,2.561
9/30/2020,2.527
10/1/2020,2.527
10/2/2020,2.438
10/5/2020,2.615
10/6/2020,2.52
10/7/2020,2.606
10/8/2020,2.627
10/9/2020,2.741
10/12/2020,2.881
10/13/2020,2.855
10/14/2020,2.636
10/15/2020,2.775
10/16/2020,2.773
10/19/2020,2.795
10/20/2020,2.913
10/21/2020,3.023
10/22/2020,3.007
10/23/2020,2.971
10/26/2020,3.024
10/27/2020,3.019
10/28/2020,2.996
10/29/2020,3.301
10/30/2020,3.354
11/2/2020,3.244
11/3/2020,3.059
11/4/2020,3.046
11/5/2020,2.942
11/6/2020,2.888
11/9/2020,2.859
11/10/2020,2.949
11/11/2020,3.031
11/12/2020,2.976
11/13/2020,2.995
11/16/2020,2.697
11/17/2020,2.692
11/18/2020,2.712
11/19/2020,2.592
11/20/2020,2.65
11/23/2020,2.711
11/24/2020,2.775
11/25/2020,2.896
11/26/2020,2.93
11/27/2020,2.843
11/30/2020,2.882
12/1/2020,2.88
12/2/2020,2.78
12/3/2020,2.507
12/4/2020,2.575
12/7/2020,2.406
12/8/2020,2.399
12/9/2020,2.442
12/10/2020,2.553
12/11/2020,2.591
12/14/2020,2.682
12/15/2020,2.682
12/16/2020,2.677
12/17/2020,2.636
12/18/2020,2.7
12/21/2020,2.705
12/22/2020,2.78
12/23/2020,2.608
12/24/2020,2.518
12/28/2020,2.305
12/29/2020,2.467
12/30/2020,2.422
12/31/2020,2.539
1/4/2021,2.581
1/5/2021,2.702
1/6/2021,2.716
1/7/2021,2.729
1/8/2021,2.7
1/11/2021,2.747
1/12/2021,2.753
1/13/2021,2.727
1/14/2021,2.666
1/15/2021,2.737
1/17/2021,2.64
1/18/2021,2.637
1/19/2021,2.546
1/20/2021,2.539
1/21/2021,2.491
1/22/2021,2.446
1/25/2021,2.602
1/26/2021,2.656
1/27/2021,2.76
1/28/2021,2.664
1/29/2021,2.564
2/1/2021,2.85
2/2/2021,2.845
2/3/2021,2.789
2/4/2021,2.935
2/5/2021,2.863
2/8/2021,2.882
2/9/2021,2.835
2/10/2021,2.911
2/11/2021,2.868
2/12/2021,2.912
2/14/2021,3.035
2/15/2021,3.067
2/16/2021,3.129
2/17/2021,3.219
2/18/2021,3.082
2/19/2021,3.069
2/22/2021,2.953
2/23/2021,2.879
2/24/2021,2.854
2/25/2021,2.777
2/26/2021,2.771
3/1/2021,2.777
3/2/2021,2.839
3/3/2021,2.816
3/4/2021,2.746
3/5/2021,2.701
3/8/2021,2.664
3/9/2021,2.662
3/10/2021,2.692
3/11/2021,2.668
3/12/2021,2.6
3/15/2021,2.484
3/16/2021,2.562
3/17/2021,2.528
3/18/2021,2.481
3/19/2021,2.535
3/22/2021,2.582
3/23/2021,2.508
3/24/2021,2.518
3/25/2021,2.57
3/26/2021,2.557
3/29/2021,2.586
3/30/2021,2.623
3/31/2021,2.608
4/1/2021,2.639
4/5/2021,2.511
4/6/2021,2.456
4/7/2021,2.52
4/8/2021,2.522
4/9/2021,2.526
4/12/2021,2.561
4/13/2021,2.619
4/14/2021,2.618
4/15/2021,2.658
4/16/2021,2.68
4/19/2021,2.749
4/20/2021,2.727
4/21/2021,2.692
4/22/2021,2.749
4/23/2021,2.73
4/26/2021,2.79
4/27/2021,2.873
4/28/2021,2.925
4/29/2021,2.911
4/30/2021,2.931
5/3/2021,2.966
5/4/2021,2.967
5/5/2021,2.938
5/6/2021,2.928
5/7/2021,2.958
5/10/2021,2.932
5/11/2021,2.955
5/12/2021,2.969
5/13/2021,2.973
5/14/2021,2.961
5/17/2021,3.109
5/18/2021,3.012
5/19/2021,2.964
5/20/2021,2.925
5/21/2021,2.906
5/24/2021,2.886
5/25/2021,2.913
5/26/2021,2.984
5/27/2021,2.958
5/28/2021,2.986
5/30/2021,3.037
5/31/2021,3.055
6/1/2021,3.104
6/2/2021,3.075
6/3/2021,3.041
6/4/2021,3.097
6/7/2021,3.07
6/8/2021,3.128
6/9/2021,3.129
6/10/2021,3.149
6/11/2021,3.296
6/14/2021,3.352
6/15/2021,3.24
6/16/2021,3.251
6/17/2021,3.253
6/18/2021,3.215
6/21/2021,3.191
6/22/2021,3.258
6/23/2021,3.333
6/24/2021,3.418
6/25/2021,3.496
6/28/2021,3.617
6/29/2021,3.63
6/30/2021,3.65
7/1/2021,3.661
7/2/2021,3.7
7/4/2021,3.719
7/5/2021,3.79
7/6/2021,3.637
7/7/2021,3.596
7/8/2021,3.688
7/9/2021,3.674
7/12/2021,3.749
7/13/2021,3.696
7/14/2021,3.66
7/15/2021,3.614
7/16/2021,3.674
7/19/2021,3.779
7/20/2021,3.876
7/21/2021,3.959
7/22/2021,4.003
7/23/2021,4.06
7/26/2021,4.102
7/27/2021,3.971
7/28/2021,4.044
7/29/2021,4.059
7/30/2021,3.914
8/2/2021,3.935
8/3/2021,4.027
8/4/2021,4.158
8/5/2021,4.14
8/6/2021,4.14
8/9/2021,4.06
8/10/2021,4.089
8/11/2021,4.059
8/12/2021,3.933
8/13/2021,3.861
8/16/2021,3.946
8/17/2021,3.837
8/18/2021,3.852
8/19/2021,3.83
8/20/2021,3.851
8/23/2021,3.945
8/24/2021,3.896
8/25/2021,3.897
8/26/2021,4.184
8/27/2021,4.37
8/30/2021,4.305
8/31/2021,4.377
9/1/2021,4.615
9/2/2021,4.641
9/3/2021,4.712
9/5/2021,4.724
9/6/2021,4.693
9/7/2021,4.568
9/8/2021,4.914
9/9/2021,5.031
9/10/2021,4.938
9/13/2021,5.231
9/14/2021,5.26
9/15/2021,5.46
9/16/2021,5.335
9/17/2021,5.105
9/20/2021,4.985
9/21/2021,4.805
9/22/2021,4.805
9/23/2021,4.976
9/24/2021,5.14
9/27/2021,5.706
9/28/2021,5.841
9/29/2021,5.477
9/30/2021,5.867
10/1/2021,5.619
10/4/2021,5.766
10/5/2021,6.312
10/6/2021,5.675
10/7/2021,5.677
10/8/2021,5.565
10/11/2021,5.345
10/12/2021,5.505
10/13/2021,5.59
10/14/2021,5.687
10/15/2021,5.41
10/18/2021,4.989
10/19/2021,5.088
10/20/2021,5.17
10/21/2021,5.115
10/22/2021,5.28
10/25/2021,5.898
10/26/2021,5.882
10/27/2021,6.202
10/28/2021,5.782
10/29/2021,5.426
11/1/2021,5.186
11/2/2021,5.542
11/3/2021,5.67
11/4/2021,5.716
11/5/2021,5.516
11/8/2021,5.427
11/9/2021,4.979
11/10/2021,4.88
11/11/2021,5.149
11/12/2021,4.791
11/15/2021,5.017
11/16/2021,5.177
11/17/2021,4.816
11/18/2021,4.902
11/19/2021,5.065
11/22/2021,4.789
11/23/2021,4.967
11/24/2021,5.068
11/25/2021,5.087
11/26/2021,5.447
11/29/2021,4.854
11/30/2021,4.567
12/1/2021,4.258
12/2/2021,4.056
12/3/2021,4.132
12/6/2021,3.657
12/7/2021,3.708
12/8/2021,3.815
12/9/2021,3.814
12/10/2021,3.925
12/13/2021,3.794
12/14/2021,3.747
12/15/2021,3.802
12/16/2021,3.766
12/17/2021,3.69
12/20/2021,3.834
12/21/2021,3.869
12/22/2021,3.976
12/23/2021,3.731
12/27/2021,4.06
12/28/2021,4.055
12/29/2021,4.024
12/30/2021,3.561
12/31/2021,3.73
1/3/2022,3.815
1/4/2022,3.717
1/5/2022,3.882
1/6/2022,3.812
1/7/2022,3.916
1/10/2022,4.079
1/11/2022,4.249
1/12/2022,4.857
1/13/2022,4.27
1/14/2022,4.262
1/16/2022,4.335
1/17/2022,4.276
1/18/2022,4.283
1/19/2022,4.031
1/20/2022,3.802
1/21/2022,3.999
1/24/2022,4.027
1/25/2022,4.053
1/26/2022,4.277
1/27/2022,4.283
1/28/2022,4.639
1/31/2022,4.874
2/1/2022,4.751
2/2/2022,5.501
2/3/2022,4.888
2/4/2022,4.572
2/7/2022,4.232
2/8/2022,4.248
2/9/2022,4.009
2/10/2022,3.959
2/11/2022,3.941
2/14/2022,4.195
2/15/2022,4.306
2/16/2022,4.717
2/17/2022,4.486
2/18/2022,4.431
2/20/2022,4.579
2/21/2022,4.705
2/22/2022,4.498
2/23/2022,4.623
2/24/2022,4.568
2/25/2022,4.47
2/28/2022,4.402
3/1/2022,4.573
3/2/2022,4.762
3/3/2022,4.722
3/4/2022,5.016
3/7/2022,4.833
3/8/2022,4.527
3/9/2022,4.526
3/10/2022,4.631
3/11/2022,4.725
3/14/2022,4.658
3/15/2022,4.568
3/16/2022,4.748
3/17/2022,4.99
3/18/2022,4.863
3/21/2022,4.9
3/22/2022,5.187
3/23/2022,5.232
3/24/2022,5.401
3/25/2022,5.571
3/28/2022,5.508
3/29/2022,5.336
3/30/2022,5.605
3/31/2022,5.642
4/1/2022,5.72
4/4/2022,5.712
4/5/2022,6.032
4/6/2022,6.029
4/7/2022,6.359
4/8/2022,6.278
4/11/2022,6.643
4/12/2022,6.68
4/13/2022,6.997
4/14/2022,7.3
4/18/2022,7.82
4/19/2022,7.176
4/20/2022,6.937
4/21/2022,6.957
4/22/2022,6.534
4/25/2022,6.669
4/26/2022,6.85
4/27/2022,7.339
4/28/2022,6.888
4/29/2022,7.244
5/2/2022,7.475
5/3/2022,7.954
5/4/2022,8.415
5/5/2022,8.783
5/6/2022,8.043
5/9/2022,7.026
5/10/2022,7.385
5/11/2022,7.64
5/12/2022,7.739
5/13/2022,7.663
5/16/2022,7.956
5/17/2022,8.304
5/18/2022,8.368
5/19/2022,8.308
5/20/2022,8.083
5/23/2022,8.744
5/24/2022,8.796
5/25/2022,8.971
5/26/2022,8.908
5/27/2022,8.727
5/29/2022,8.815
5/30/2022,8.686
5/31/2022,8.145
6/1/2022,8.696
6/2/2022,8.485
6/3/2022,8.523
6/6/2022,9.322
6/7/2022,9.293
6/8/2022,8.699
6/9/2022,8.963
6/10/2022,8.85
6/13/2022,8.609
6/14/2022,7.189
6/15/2022,7.296
